     0.760 Keycode 106, name j
     0.173 Keycode 106, name j
     0.341 Keycode 106, name j
     0.139 Keycode 106, name j
     0.152 Keycode 106, name j
     0.137 Keycode 106, name j
     1.534 Keycode 107, name k
     0.410 Keycode 107, name k
     0.141 Keycode 107, name k
     0.132 Keycode 108, name l
     0.161 Keycode 59, name ;
     0.360 Keycode 105, name i
     0.124 Keycode 106, name j
     0.079 Keycode 97, name a
     0.057 Keycode 115, name s
     0.004 Keycode 100, name d
     0.081 Keycode 102, name f
     0.045 Keycode 117, name u
     0.103 Keycode 104, name h
     0.178 Keycode 101, name e
     0.254 Keycode 97, name a
     0.131 Keycode 115, name s
     0.084 Keycode 111, name o
     0.026 Keycode 102, name f
     0.001 Keycode 100, name d
     0.031 Keycode 105, name i
     0.095 Keycode 106, name j
     1.496 Keycode 59, name ;
