     0.824 Keycode 106, name j
     0.150 Keycode 107, name k
     0.286 Keycode 107, name k
     0.151 Keycode 106, name j
     0.115 Keycode 107, name k
     0.107 Keycode 106, name j
     0.162 Keycode 106, name j
     0.374 Keycode 106, name j
     0.505 Keycode 106, name j
     0.083 Keycode 106, name j
     0.082 Keycode 106, name j
     0.084 Keycode 106, name j
     0.082 Keycode 106, name j
     0.083 Keycode 106, name j
     0.082 Keycode 106, name j
     0.085 Keycode 106, name j
     0.083 Keycode 106, name j
     0.082 Keycode 106, name j
     0.001 Keycode 105, name i
     0.502 Keycode 105, name i
     0.086 Keycode 105, name i
     0.085 Keycode 105, name i
     0.083 Keycode 105, name i
     0.085 Keycode 105, name i
     0.084 Keycode 105, name i
     0.082 Keycode 105, name i
     0.082 Keycode 105, name i
     0.083 Keycode 105, name i
     0.081 Keycode 105, name i
     0.086 Keycode 105, name i
     0.079 Keycode 105, name i
     0.084 Keycode 105, name i
     0.085 Keycode 105, name i
     0.084 Keycode 105, name i
     0.082 Keycode 105, name i
     0.085 Keycode 105, name i
     0.050 Keycode 108, name l
     0.503 Keycode 108, name l
     0.084 Keycode 108, name l
     0.085 Keycode 108, name l
     0.084 Keycode 108, name l
     0.082 Keycode 108, name l
     0.084 Keycode 108, name l
     0.082 Keycode 108, name l
     0.084 Keycode 108, name l
     0.085 Keycode 108, name l
     0.081 Keycode 108, name l
     0.083 Keycode 12, name ^L
